Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-06-18,52.39,53.45,52.01,53.37,6504200,0,0
2018-06-19,53.01,53.62,52.92,53.33,5325000,0,0
2018-06-20,53.42,53.45,53.05,53.05,4537500,0,0
2018-06-21,53.04,53.1,51.99,52.13,5004700,0,0
2018-06-22,52.38,52.51,52.04,52.33,4778100,0,0
2018-06-25,52.33,52.45,51.71,52.1,3477300,0,0
2018-06-26,52.05,52.17,51.02,51.54,3586800,0,0
2018-06-27,51.42,51.74,50.81,50.81,4409100,0,0
2018-06-28,50.65,51.32,50.2,51.15,6015600,0,0
2018-06-29,51.5,51.77,50.91,50.94,4348000,0,0
2018-07-02,50.77,51.28,50.63,51.27,5198800,0,0
2018-07-03,51.35,51.97,51.22,51.57,1970500,0,0
2018-07-05,51.88,52.0,51.42,51.81,2743800,0,0
2018-07-06,51.71,52.51,51.48,52.24,2212400,0,0
2018-07-09,52.53,53.52,52.39,53.38,4706400,0,0
2018-07-10,53.59,53.62,53.06,53.29,3427500,0,0
2018-07-11,53.06,53.18,52.25,52.42,2753300,0,0
2018-07-12,52.63,52.69,51.9,52.17,2611800,0,0
2018-07-13,51.99,52.23,51.74,52.12,2727400,0,0
2018-07-16,52.24,52.73,52.1,52.63,1975700,0,0
2018-07-17,52.81,52.89,52.46,52.57,2248400,0,0
2018-07-18,52.52,53.17,52.33,52.97,2759100,0,0
2018-07-19,52.75,52.89,51.58,51.74,4888700,0,0
2018-07-20,51.49,51.8,51.17,51.23,4888500,0,0
2018-07-23,51.16,51.54,50.47,51.31,4533700,0,0
2018-07-24,51.3,52.02,51.14,51.6,3642100,0,0
2018-07-25,51.5,51.63,50.91,51.47,3412800,0,0
2018-07-26,51.67,52.61,51.67,52.13,3820400,0,0
2018-07-27,52.14,52.69,52.09,52.23,3313500,0,0
2018-07-30,52.21,53.09,52.15,52.79,4214000,0,0
2018-07-31,53.08,53.24,52.64,53.05,5124000,0,0
2018-08-01,53.36,54.15,52.71,52.84,5529200,0,0
2018-08-02,52.44,53.37,52.23,53.0,4729100,0,0
2018-08-03,51.03,51.96,50.31,51.55,12219100,0,0
2018-08-06,51.42,51.43,50.66,51.33,6658300,0,0
2018-08-07,51.47,51.62,50.87,50.92,5182800,0,0
2018-08-08,50.88,51.02,50.25,50.39,5512200,0,0
2018-08-09,50.31,50.7,49.95,49.96,3460800,0,0
2018-08-10,49.61,50.22,49.23,50.18,5747000,0,0
2018-08-13,50.18,50.5,49.91,50.06,5257900,0,0
2018-08-14,50.02,50.44,49.76,50.28,3185000,0,0
2018-08-15,50.03,50.15,49.71,50.06,3595000,0,0
2018-08-16,50.26,50.72,50.23,50.41,5029300,0,0
