Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-06-18,1706.26,1726.74,1702.56,1723.79,3107700,0,0
2018-06-19,1709.04,1736.11,1700.39,1734.78,4290100,0,0
2018-06-20,1742.5,1762.93,1741.36,1750.08,4332600,0,0
2018-06-21,1760.0,1763.1,1717.56,1730.22,4941100,0,0
2018-06-22,1742.62,1743.0,1711.9,1715.67,4075100,0,0
2018-06-25,1702.51,1705.0,1646.31,1663.15,7511200,0,0
2018-06-26,1672.37,1701.57,1663.34,1691.09,4386600,0,0
2018-06-27,1708.11,1711.95,1660.0,1660.51,4872200,0,0
2018-06-28,1672.54,1705.5,1661.17,1701.45,4529700,0,0
2018-06-29,1717.0,1723.41,1694.32,1699.8,4543500,0,0
2018-07-02,1682.7,1713.89,1678.06,1713.78,3185700,0,0
2018-07-03,1723.96,1725.0,1692.48,1693.96,2177300,0,0
2018-07-05,1705.38,1710.69,1682.15,1699.73,2983100,0,0
2018-07-06,1696.0,1715.27,1691.67,1710.63,2650300,0,0
2018-07-09,1724.05,1739.56,1716.23,1739.02,3012000,0,0
2018-07-10,1738.53,1750.0,1731.0,1743.07,3002900,0,0
2018-07-11,1737.99,1756.96,1734.0,1755.0,3209800,0,0
2018-07-12,1764.51,1798.0,1762.18,1796.62,4532700,0,0
2018-07-13,1803.93,1815.3,1795.23,1813.03,4383200,0,0
2018-07-16,1821.95,1841.95,1814.45,1822.49,5466200,0,0
2018-07-17,1811.56,1851.69,1797.38,1843.93,5682900,0,0
2018-07-18,1848.0,1858.88,1831.27,1842.92,4861900,0,0
2018-07-19,1829.46,1841.0,1811.27,1812.97,4676900,0,0
2018-07-20,1825.01,1834.84,1810.06,1813.7,3884400,0,0
2018-07-23,1812.21,1819.0,1769.99,1802.0,3888500,0,0
2018-07-24,1829.01,1840.0,1809.38,1829.24,4278700,0,0
2018-07-25,1829.3,1863.84,1822.64,1863.61,3738200,0,0
2018-07-26,1839.0,1844.68,1804.5,1808.0,9924400,0,0
2018-07-27,1876.05,1880.05,1806.53,1817.27,9681000,0,0
2018-07-30,1827.33,1829.5,1766.02,1779.22,6562300,0,0
2018-07-31,1786.49,1801.83,1739.32,1777.44,5738700,0,0
2018-08-01,1784.0,1798.44,1776.02,1797.17,4153100,0,0
2018-08-02,1788.77,1836.56,1786.0,1834.33,4354700,0,0
2018-08-03,1837.74,1841.0,1821.5,1823.29,3460500,0,0
2018-08-06,1825.81,1847.77,1818.92,1847.75,3391800,0,0
2018-08-07,1854.53,1869.72,1846.27,1862.48,3377500,0,0
2018-08-08,1861.0,1891.51,1854.5,1886.52,3963000,0,0
2018-08-09,1882.0,1914.57,1877.48,1898.52,4860400,0,0
2018-08-10,1888.51,1899.5,1878.21,1886.3,3639900,0,0
2018-08-13,1898.5,1925.0,1893.67,1896.2,5531500,0,0
2018-08-14,1919.39,1921.01,1900.0,1919.65,3986100,0,0
2018-08-15,1909.55,1916.21,1869.79,1882.62,7700700,0,0
2018-08-16,1903.94,1905.0,1883.55,1886.52,3957100,0,0
