Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-06-18,501.33,505.44,496.62,504.72,483500,0,0
2018-06-19,499.64,505.48,496.62,503.83,448500,0,0
2018-06-20,505.28,507.63,503.31,503.8,346100,0,0
2018-06-21,504.49,506.28,497.78,502.27,571000,0,0
2018-06-22,506.98,506.98,499.91,500.13,514300,0,0
2018-06-25,497.51,498.35,487.19,492.86,666000,0,0
2018-06-26,493.67,493.67,485.76,488.75,740200,0,0
2018-06-27,488.38,494.59,481.75,481.75,558200,0,0
2018-06-28,481.69,483.8,475.83,480.06,636700,0,0
2018-06-29,486.21,489.69,477.15,477.45,701800,0,0
2018-07-02,472.69,477.91,469.35,477.91,564000,0,0
2018-07-03,480.82,481.54,469.67,470.04,307500,0,0
2018-07-05,477.36,477.36,467.47,470.7,513900,0,0
2018-07-06,470.22,475.54,466.9,470.42,556300,0,0
2018-07-09,473.54,483.33,472.57,482.29,748400,0,0
2018-07-10,483.08,488.81,481.18,483.09,484800,0,0
2018-07-11,478.26,484.04,478.01,481.15,468600,0,0
2018-07-12,484.56,485.19,476.5,484.75,574500,0,0
2018-07-13,490.07,490.33,482.61,485.15,786500,0,0
2018-07-16,478.37,484.54,476.25,482.16,1212800,0,0
2018-07-17,479.61,484.07,479.58,483.04,758800,0,0
2018-07-18,483.08,489.49,483.04,488.75,487600,0,0
2018-07-19,485.82,488.23,480.32,483.05,684100,0,0
2018-07-20,479.9,482.99,479.35,481.03,812400,0,0
2018-07-23,480.38,489.16,480.38,486.51,646700,0,0
2018-07-24,489.74,490.81,484.72,486.88,688300,0,0
2018-07-25,485.96,490.67,481.35,490.32,492800,0,0
2018-07-26,490.53,490.53,482.96,483.26,407600,0,0
2018-07-27,483.8,484.51,478.42,481.16,571600,0,0
2018-07-30,481.91,482.63,476.88,478.54,492100,0,0
2018-07-31,481.63,483.42,479.04,481.01,512900,0,0
2018-08-01,483.34,487.81,455.95,458.71,1716500,0,0
2018-08-02,453.76,455.23,446.94,454.75,1637700,0,0
2018-08-03,455.52,463.94,454.96,461.53,824100,0,0
2018-08-06,461.52,465.11,458.37,462.55,639300,0,0
2018-08-07,464.8,473.5,463.6,466.37,1000900,0,0
2018-08-08,465.01,468.21,463.55,465.98,535200,0,0
2018-08-09,465.32,465.93,462.59,463.16,634600,0,0
2018-08-10,458.36,462.71,454.77,458.23,646600,0,0
2018-08-13,458.41,460.53,453.14,454.83,382700,0,0
2018-08-14,455.93,457.9,453.5,456.57,408600,0,0
2018-08-15,452.52,454.46,445.85,450.45,721000,0,0
2018-08-16,452.95,459.92,451.86,454.08,681600,0,0
2018-08-17,453.77,455.02,450.4,453.64,472800,0,0
