Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-06-18,54.9814,55.9141,54.9225,55.2858,4023700,0,0
2018-06-19,54.6967,55.708,54.5396,55.4331,3480400,0,0
2018-06-20,55.9632,57.4359,55.9632,57.1414,4075200,0,0
2018-06-21,56.8174,57.112,55.2171,55.3741,3639100,0,0
2018-06-22,55.7472,55.9534,55.3447,55.6687,5465000,0,0
2018-06-25,55.6,55.9338,54.6083,55.2171,3253700,0,0
2018-06-26,55.0894,55.2465,54.3825,54.844,2412900,0,0
2018-06-27,55.1189,55.5607,54.628,54.6967,2490400,0,0
2018-06-28,54.9814,55.2367,54.1076,55.1091,2239000,0,0
2018-06-29,55.0992,55.7178,54.7851,55.1974,2435400,0,0
2018-07-02,54.952,55.2661,54.4905,54.9618,1766700,0,0
2018-07-03,55.06,55.325,54.5003,54.628,888100,0,0
2018-07-05,54.9618,55.924,54.844,55.8651,2020000,0,0
2018-07-06,56.0221,57.1905,55.9632,57.0923,2642000,0,0
2018-07-09,57.1414,57.3476,56.297,57.3083,2437100,0,0
2018-07-10,57.5145,57.8679,56.8469,57.6716,2454300,0,0
2018-07-11,57.3279,58.5061,56.9352,58.2214,4434200,0,0
2018-07-12,58.3687,58.4374,57.9367,58.0447,1718500,0,0
2018-07-13,57.8287,57.9858,57.5243,57.9367,1143900,0,0
2018-07-16,57.9367,57.9956,57.3574,57.7599,2507100,0,0
2018-07-17,57.3378,57.7403,56.5818,56.9647,1850900,0,0
2018-07-18,56.9647,57.4949,56.8272,57.161,2103000,0,0
2018-07-19,57.1512,57.3083,56.3756,56.3952,1645700,0,0
2018-07-20,56.297,56.3265,55.4331,56.189,2313400,0,0
2018-07-23,56.2087,56.3069,55.7669,55.8356,1256900,0,0
2018-07-24,56.3069,56.3952,55.2661,55.6294,2123300,0,0
2018-07-25,55.7669,56.2872,55.4821,56.2676,2324500,0,0
2018-07-26,56.5032,57.4556,56.4836,56.4836,1492700,0,0
2018-07-27,56.7487,56.8174,52.2422,53.0276,15397800,0,0
2018-07-30,52.3207,52.4778,49.984,50.3473,15733900,0,0
2018-07-31,50.4651,52.0065,50.0822,51.712,10900200,0,0
2018-08-01,51.7218,52.036,51.064,51.5942,4070600,0,0
2018-08-02,51.496,51.9967,50.6811,51.7611,5450500,0,0
2018-08-03,51.2505,52.2225,50.2785,52.1931,8242700,0,0
2018-08-06,51.9476,52.0262,51.3487,51.8887,3676000,0,0
2018-08-07,51.9869,52.8214,51.7414,52.252,3220700,0,0
2018-08-08,52.1833,52.5269,52.0458,52.1931,1969800,0,0
2018-08-09,52.3305,53.7934,52.1636,52.5956,4561500,0,0
2018-08-10,52.2422,52.3502,51.4665,51.5647,2406400,0,0
2018-08-13,51.6236,51.928,51.1327,51.2604,1734900,0,0
2018-08-14,51.5353,51.82,51.3291,51.6138,1103900,0,0
2018-08-15,51.2898,51.928,50.9265,51.8396,2286100,0,0
2018-08-16,52.036,52.468,51.8298,52.0163,1432000,0,0
2018-08-17,52.0065,52.5858,51.9378,52.252,1525900,0,0
