Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-06-18,37.93,38.45,37.77,38.28,10077500,0,0
2018-06-19,37.75,38.72,37.71,38.6,7190200,0,0
2018-06-20,38.89,38.95,38.38,38.68,5750500,0,0
2018-06-21,38.64,39.0,37.3,37.44,11587300,0,0
2018-06-22,37.5,37.7,37.09,37.52,11808400,0,0
2018-06-25,37.16,37.19,36.23,36.56,13382600,0,0
2018-06-26,36.58,36.81,36.23,36.52,12451300,0,0
2018-06-27,36.47,36.75,35.75,35.76,9898300,0,0
2018-06-28,35.64,35.83,35.03,35.6,11381100,0,0
2018-06-29,35.74,36.0,35.59,35.72,6335800,0,0
2018-07-02,35.38,36.13,35.14,36.12,6144200,0,0
2018-07-03,36.34,36.66,36.07,36.09,3704000,0,0
2018-07-05,36.25,36.55,35.96,36.48,4653800,0,0
2018-07-06,36.65,36.98,36.2,36.83,4188500,0,0
2018-07-09,36.98,37.37,36.89,37.35,4660700,0,0
2018-07-10,36.53,36.94,36.44,36.49,11250700,0,0
2018-07-11,36.38,36.87,36.23,36.43,8442000,0,0
2018-07-12,36.9,37.22,36.65,36.99,9711500,0,0
2018-07-13,36.99,37.11,36.58,37.05,7785700,0,0
2018-07-16,37.1,37.49,36.93,37.17,11576800,0,0
2018-07-17,36.87,37.58,36.76,37.25,9931200,0,0
2018-07-18,37.22,37.77,37.06,37.39,15840300,0,0
2018-07-19,34.65,35.12,33.43,33.6,50978000,0,0
2018-07-20,33.91,34.39,33.61,33.69,20035000,0,0
2018-07-23,33.55,33.64,32.99,33.29,15380500,0,0
2018-07-24,33.51,33.55,32.94,33.02,10916700,0,0
2018-07-25,32.92,33.53,32.89,33.39,12141500,0,0
2018-07-26,33.31,34.12,33.26,33.92,9728300,0,0
2018-07-27,34.11,34.32,33.26,33.31,10161300,0,0
2018-07-30,33.22,33.45,32.91,33.17,10093700,0,0
2018-07-31,33.27,33.45,32.83,32.95,9976100,0,0
2018-08-01,32.85,32.95,32.36,32.6,8981800,0,0
2018-08-02,32.51,32.9,32.37,32.73,7235700,0,0
2018-08-03,32.87,33.22,32.68,33.16,7154100,0,0
2018-08-06,33.16,33.68,33.07,33.48,8119000,0,0
2018-08-07,33.6,33.7,33.22,33.28,5722300,0,0
2018-08-08,33.28,33.44,33.13,33.34,5504300,0,0
2018-08-09,33.36,33.7,33.26,33.64,8115900,0,0
2018-08-10,33.05,33.95,32.93,33.58,13198500,0,0
2018-08-13,33.6,33.94,33.37,33.38,7984400,0,0
2018-08-14,33.41,34.21,33.35,33.89,9201000,0,0
2018-08-15,33.54,33.59,33.1,33.36,12381500,0,0
2018-08-16,33.55,33.66,33.14,33.27,8534500,0,0
2018-08-17,33.32,33.75,33.18,33.5,6982400,0,0
