Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-06-18,8.86,9.31,8.71,9.15,6885600,0,0
2018-06-19,9.0,9.44,8.91,9.44,5676300,0,0
2018-06-20,9.38,9.63,9.37,9.43,5166000,0,0
2018-06-21,9.38,9.51,9.27,9.3,4335700,0,0
2018-06-22,9.36,9.5,9.22,9.48,30341600,0,0
2018-06-25,9.5,9.63,9.16,9.26,4625700,0,0
2018-06-26,9.34,9.34,8.85,9.17,3813200,0,0
2018-06-27,9.59,9.69,9.08,9.11,6228500,0,0
2018-06-28,9.19,10.05,9.19,9.83,7416100,0,0
2018-06-29,10.0,10.09,9.36,9.43,6527300,0,0
2018-07-02,9.4,9.82,9.4,9.77,6479900,0,0
2018-07-03,9.81,10.01,9.69,9.89,3398600,0,0
2018-07-05,9.88,10.14,9.7,10.12,3394300,0,0
2018-07-06,10.14,10.95,10.14,10.86,7207700,0,0
2018-07-09,10.85,11.39,10.59,11.22,7998300,0,0
2018-07-10,10.96,11.11,10.62,10.88,6989600,0,0
2018-07-11,10.98,11.03,10.64,10.84,4368300,0,0
2018-07-12,11.0,11.29,10.84,11.21,4252700,0,0
2018-07-13,11.17,11.24,10.95,11.12,3093800,0,0
2018-07-16,11.12,11.2,10.39,10.56,4706000,0,0
2018-07-17,10.56,11.2,10.52,10.83,3358000,0,0
2018-07-18,10.99,11.3,10.86,11.21,5051900,0,0
2018-07-19,11.14,11.32,10.91,11.22,3810500,0,0
2018-07-20,11.26,11.34,11.09,11.15,2144200,0,0
2018-07-23,11.1,11.71,11.1,11.56,3969100,0,0
2018-07-24,11.6,11.75,11.47,11.63,2627600,0,0
2018-07-25,11.62,12.04,11.57,12.03,3415900,0,0
2018-07-26,12.14,12.14,11.7,12.1,3951200,0,0
2018-07-27,12.12,12.14,11.94,12.09,2372700,0,0
2018-07-30,12.11,12.42,11.99,12.16,6543700,0,0
2018-07-31,12.17,12.53,12.17,12.44,3536000,0,0
2018-08-01,12.55,12.61,12.4,12.46,4878900,0,0
2018-08-02,12.35,12.57,11.78,12.01,5107800,0,0
2018-08-03,12.05,12.52,11.95,12.2,4210000,0,0
2018-08-06,12.2,12.28,12.02,12.13,3241200,0,0
2018-08-07,12.39,12.71,12.31,12.65,4822900,0,0
2018-08-08,14.05,17.34,14.0,16.23,27365500,0,0
2018-08-09,16.09,16.56,15.3,15.83,9112500,0,0
2018-08-10,15.88,16.36,15.28,15.65,5182600,0,0
2018-08-13,15.09,15.41,14.56,15.19,8114000,0,0
2018-08-14,15.41,16.28,15.21,16.1,8175800,0,0
2018-08-15,15.88,16.11,15.13,16.06,6662000,0,0
2018-08-16,16.06,16.28,15.63,15.95,4245800,0,0
