Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-01-23,186.05,189.55,185.55,189.35,25678800,0,0
2018-01-24,189.89,190.66,186.52,186.55,24334500,0,0
2018-01-25,187.95,188.62,186.6,187.48,17377700,0,0
2018-01-26,187.75,190.0,186.81,190.0,17759200,0,0
2018-01-29,188.75,188.84,185.63,185.98,20453200,0,0
2018-01-30,187.62,188.18,181.84,187.12,20858600,0,0
2018-01-31,188.37,189.83,185.22,186.89,43275100,0,0
2018-02-01,188.22,195.32,187.89,193.09,54211300,0,0
2018-02-02,192.04,194.21,189.98,190.28,26677500,0,0
2018-02-05,186.93,190.61,180.61,181.26,33128200,0,0
2018-02-06,178.57,185.77,177.74,185.31,37758500,0,0
2018-02-07,184.15,185.08,179.95,180.18,27601900,0,0
2018-02-08,181.01,181.84,171.48,171.58,38478300,0,0
2018-02-09,174.76,176.9,167.18,176.11,39887600,0,0
2018-02-12,177.06,177.55,171.84,176.41,32092100,0,0
2018-02-13,175.62,175.97,173.1,173.15,21809400,0,0
2018-02-14,173.45,179.81,173.21,179.52,28929700,0,0
2018-02-15,180.5,180.5,176.84,179.96,20922100,0,0
2018-02-16,178.99,179.88,176.3,177.36,20645300,0,0
2018-02-20,175.77,177.95,175.11,176.01,21204900,0,0
2018-02-21,176.71,181.27,176.4,177.91,23200800,0,0
2018-02-22,178.7,180.21,177.41,178.99,18464200,0,0
2018-02-23,179.9,183.39,179.51,183.29,19007300,0,0
2018-02-26,184.58,185.66,183.22,184.93,17599700,0,0
2018-02-27,184.45,184.7,181.46,181.46,15849800,0,0
2018-02-28,182.3,182.88,178.14,178.32,18783000,0,0
2018-03-01,179.01,180.12,174.41,175.94,23201600,0,0
2018-03-02,173.29,177.11,172.99,176.62,20025900,0,0
2018-03-05,176.2,181.15,175.89,180.4,16189300,0,0
2018-03-06,181.78,182.38,179.11,179.78,15086800,0,0
2018-03-07,178.74,183.82,178.07,183.71,19097300,0,0
2018-03-08,183.56,184.4,181.45,182.34,17225900,0,0
2018-03-09,183.91,185.51,183.21,185.23,18526300,0,0
2018-03-12,185.23,186.1,184.22,184.76,15301200,0,0
2018-03-13,185.61,185.99,181.11,181.88,18067500,0,0
2018-03-14,182.6,184.25,181.85,184.19,16821700,0,0
2018-03-15,183.24,184.0,182.19,183.86,15614300,0,0
2018-03-16,184.49,185.33,183.41,185.09,24403400,0,0
2018-03-19,177.01,177.17,170.06,172.56,88140100,0,0
2018-03-20,167.47,170.2,161.95,168.15,129851800,0,0
2018-03-21,164.8,173.4,163.3,169.39,106598800,0,0
2018-03-22,166.13,170.27,163.72,164.89,73743000,0,0
2018-03-23,165.44,166.6,159.02,159.39,53609700,0,0
