Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-06-18,1152.69,1184.13,1151.0,1183.58,1651900,0,0
2018-06-19,1170.11,1182.81,1161.61,1178.69,2364100,0,0
2018-06-20,1183.3,1201.49,1182.03,1184.07,2584300,0,0
2018-06-21,1185.51,1190.33,1163.48,1169.44,2248300,0,0
2018-06-22,1171.49,1175.0,1159.65,1169.29,1711000,0,0
2018-06-25,1155.0,1155.99,1119.9,1139.28,2884100,0,0
2018-06-26,1144.14,1146.87,1129.0,1132.62,1734400,0,0
2018-06-27,1136.0,1146.21,1116.7,1116.94,1726900,0,0
2018-06-28,1112.39,1134.0,1106.07,1126.78,1486300,0,0
2018-06-29,1132.31,1141.36,1127.02,1129.19,1578100,0,0
2018-07-02,1115.35,1142.99,1106.6,1142.11,1160800,0,0
2018-07-03,1149.42,1149.91,1114.43,1116.28,822400,0,0
2018-07-05,1124.6,1144.14,1123.12,1141.29,1429700,0,0
2018-07-06,1141.77,1156.2,1137.24,1155.08,1091000,0,0
2018-07-09,1160.0,1167.93,1157.23,1167.28,1079200,0,0
2018-07-10,1169.99,1173.5,1162.56,1167.14,1066700,0,0
2018-07-11,1155.62,1180.44,1155.37,1171.46,1662600,0,0
2018-07-12,1174.86,1201.99,1173.1,1201.26,2207400,0,0
2018-07-13,1202.8,1210.44,1195.29,1204.42,1630600,0,0
2018-07-16,1203.81,1208.71,1193.4,1196.51,1339200,0,0
2018-07-17,1182.74,1218.76,1182.0,1213.08,2008100,0,0
2018-07-18,1208.53,1221.59,1204.56,1212.91,1947400,0,0
2018-07-19,1206.65,1216.48,1197.73,1199.1,1916900,0,0
2018-07-20,1199.24,1210.77,1196.59,1197.88,1896900,0,0
2018-07-23,1195.66,1215.1,1192.01,1211.0,3272300,0,0
2018-07-24,1271.0,1275.0,1244.14,1258.15,5380000,0,0
2018-07-25,1252.62,1278.24,1249.05,1275.94,2555200,0,0
2018-07-26,1267.18,1287.4,1263.0,1285.5,2734300,0,0
2018-07-27,1289.12,1291.44,1244.49,1252.89,2418100,0,0
2018-07-30,1245.05,1252.89,1224.17,1230.04,2194800,0,0
2018-07-31,1231.71,1241.21,1216.19,1227.22,1969100,0,0
2018-08-01,1239.11,1245.9,1224.94,1232.99,1849700,0,0
2018-08-02,1218.5,1244.41,1218.06,1241.13,1735200,0,0
2018-08-03,1245.18,1246.52,1229.42,1238.16,1063200,0,0
2018-08-06,1241.61,1242.46,1230.53,1237.67,1105700,0,0
2018-08-07,1252.01,1266.08,1251.8,1255.84,2125300,0,0
2018-08-08,1256.72,1271.72,1252.12,1261.33,1717200,0,0
2018-08-09,1262.73,1271.96,1260.1,1264.46,1366300,0,0
2018-08-10,1259.18,1261.2,1247.16,1252.51,1330100,0,0
2018-08-13,1251.2,1265.97,1247.03,1248.64,1375000,0,0
2018-08-14,1252.5,1260.59,1239.54,1258.14,1404000,0,0
2018-08-15,1244.28,1251.98,1226.24,1232.22,1852600,0,0
2018-08-16,1241.99,1243.7,1219.63,1224.06,1608800,0,0
