Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-06-18,1143.65,1174.31,1143.59,1173.46,1413700,0,0
2018-06-19,1158.5,1171.27,1154.01,1168.06,1621000,0,0
2018-06-20,1175.31,1186.29,1169.16,1169.84,1648500,0,0
2018-06-21,1174.85,1177.3,1152.23,1157.66,1238100,0,0
2018-06-22,1159.14,1162.5,1147.26,1155.48,1311000,0,0
2018-06-25,1143.6,1143.91,1112.78,1124.81,2157300,0,0
2018-06-26,1128.0,1133.21,1116.66,1118.46,1563200,0,0
2018-06-27,1121.34,1131.84,1103.62,1103.98,1293900,0,0
2018-06-28,1102.09,1122.31,1096.01,1114.22,1072400,0,0
2018-06-29,1120.0,1128.23,1115.0,1115.65,1315100,0,0
2018-07-02,1099.0,1128.0,1093.8,1127.46,1217300,0,0
2018-07-03,1135.82,1135.82,1100.02,1102.89,679000,0,0
2018-07-05,1110.53,1127.5,1108.48,1124.27,1066700,0,0
2018-07-06,1123.58,1140.93,1120.74,1140.17,996100,0,0
2018-07-09,1148.48,1154.67,1143.42,1154.05,909000,0,0
2018-07-10,1156.98,1159.59,1149.59,1152.84,798400,0,0
2018-07-11,1144.59,1164.29,1141.0,1153.9,1120000,0,0
2018-07-12,1159.89,1184.41,1155.94,1183.48,1251900,0,0
2018-07-13,1185.0,1195.42,1180.0,1188.82,1221900,0,0
2018-07-16,1189.39,1191.0,1179.28,1183.86,1055700,0,0
2018-07-17,1172.22,1203.04,1170.6,1198.8,1610400,0,0
2018-07-18,1196.56,1204.5,1190.34,1195.88,1393600,0,0
2018-07-19,1191.0,1200.0,1183.32,1186.96,1276700,0,0
2018-07-20,1186.96,1196.86,1184.22,1184.91,1247400,0,0
2018-07-23,1181.01,1206.49,1181.0,1205.5,2619200,0,0
2018-07-24,1262.59,1266.0,1235.56,1248.08,3318200,0,0
2018-07-25,1239.13,1265.86,1239.13,1263.7,2127800,0,0
2018-07-26,1251.0,1269.77,1249.02,1268.33,2405600,0,0
2018-07-27,1271.0,1273.89,1231.0,1238.5,2130600,0,0
2018-07-30,1228.01,1234.92,1211.47,1219.74,1849900,0,0
2018-07-31,1220.01,1227.59,1205.6,1217.26,1644700,0,0
2018-08-01,1228.0,1233.47,1210.21,1220.01,1567200,0,0
2018-08-02,1205.9,1229.88,1204.79,1226.15,1531300,0,0
2018-08-03,1229.62,1230.0,1215.06,1223.71,1089600,0,0
2018-08-06,1225.0,1226.09,1215.8,1224.77,1081700,0,0
2018-08-07,1237.0,1251.17,1236.17,1242.22,1494000,0,0
2018-08-08,1240.47,1256.5,1238.01,1245.61,1370300,0,0
2018-08-09,1249.9,1255.54,1246.01,1249.1,848600,0,0
2018-08-10,1243.0,1245.69,1232.0,1237.61,1108700,0,0
2018-08-13,1236.98,1249.27,1233.64,1235.01,997300,0,0
2018-08-14,1235.19,1245.87,1225.11,1242.1,1348100,0,0
2018-08-15,1229.26,1235.24,1209.51,1214.38,1828800,0,0
2018-08-16,1224.73,1226.0,1202.55,1206.49,1343200,0,0
