Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-06-18,29.69,30.68,29.6,30.55,4874200,0.0,0
2018-06-19,30.11,30.69,29.94,30.54,6041200,0.0,0
2018-06-20,30.85,31.13,30.23,31.06,5961500,0.0,0
2018-06-21,30.85,31.83,30.8,31.69,6172600,0.0,0
2018-06-22,31.88,32.12,31.1,31.35,6840500,0.0,0
2018-06-25,31.31,31.81,31.07,31.49,5000300,0.0,0
2018-06-26,31.74,32.06,31.45,31.67,6079900,0.0,0
2018-06-27,31.76,32.1,31.16,31.21,4137800,0.0,0
2018-06-28,31.25,31.86,31.23,31.46,3834400,0.0,0
2018-06-29,31.56,31.65,30.38,30.41,5613700,0.0,0
2018-07-02,30.06,30.28,29.46,29.79,5665000,0.0,0
2018-07-03,30.08,30.44,30.03,30.27,2537100,0.0,0
2018-07-05,30.48,30.48,29.59,29.67,4283700,0.0,0
2018-07-06,29.67,29.79,28.73,29.35,6702100,0.0,0
2018-07-09,29.5,29.76,28.56,28.94,5710700,0.0,0
2018-07-10,28.81,29.44,28.75,29.35,3704800,0.2425,0
2018-07-11,29.21,29.24,28.45,28.58,3978400,0.0,0
2018-07-12,28.29,28.57,27.94,28.0,7424800,0.0,0
2018-07-13,27.98,28.43,27.69,27.82,4668600,0.0,0
2018-07-16,27.82,28.01,27.41,27.9,5644100,0.0,0
2018-07-17,27.92,28.35,27.85,28.3,4393700,0.0,0
2018-07-18,28.37,28.66,28.24,28.54,3685500,0.0,0
2018-07-19,28.51,29.18,28.47,29.06,3604100,0.0,0
2018-07-20,28.96,29.14,28.41,28.44,3035400,0.0,0
2018-07-23,28.74,29.01,28.37,28.44,3673400,0.0,0
2018-07-24,28.53,28.62,27.62,27.96,6509000,0.0,0
2018-07-25,27.98,28.49,27.91,28.46,3585900,0.0,0
2018-07-26,28.6,29.07,28.2,28.53,2971600,0.0,0
2018-07-27,28.7,28.9,27.76,27.85,2678900,0.0,0
2018-07-30,27.86,28.51,27.86,28.27,2784300,0.0,0
2018-07-31,28.38,28.77,28.23,28.55,2913500,0.0,0
2018-08-01,28.44,28.83,27.62,27.64,3727900,0.0,0
2018-08-02,27.52,28.55,27.51,28.46,3119900,0.0,0
2018-08-03,28.55,29.08,28.08,28.72,3216300,0.0,0
2018-08-06,28.61,28.93,28.59,28.84,2665100,0.0,0
2018-08-07,28.9,29.28,28.78,29.06,1991000,0.0,0
2018-08-08,29.08,29.41,28.69,29.23,2728600,0.0,0
2018-08-09,29.46,29.86,29.34,29.51,2919600,0.0,0
2018-08-10,29.34,29.96,29.32,29.65,3434500,0.0,0
2018-08-13,29.79,29.96,29.33,29.48,2379700,0.0,0
2018-08-14,29.44,30.97,29.4,30.95,5016900,0.0,0
2018-08-15,30.65,30.65,29.01,29.39,6688200,0.0,0
2018-08-16,29.74,30.02,28.63,29.1,5192600,0.0,0
