Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-06-18,223.9,225.33,222.88,225.06,2327500,0,0
2018-06-19,221.97,222.77,219.97,222.07,3326600,0,0
2018-06-20,223.63,223.65,220.75,221.58,2678300,0,0
2018-06-21,220.19,222.18,218.42,220.77,3094600,0,0
2018-06-22,221.55,224.19,219.41,219.83,2731800,0,0
2018-06-25,218.35,218.98,214.36,215.48,3817700,0,0
2018-06-26,215.71,216.7,213.12,215.51,2692900,0,0
2018-06-27,215.42,219.3,214.11,214.15,3104200,0,0
2018-06-28,214.22,218.51,213.57,217.3,3072600,0,0
2018-06-29,218.26,219.01,214.42,214.53,3393700,0,0
2018-07-02,213.73,217.23,212.9,217.15,1723200,0,0
2018-07-03,218.32,218.49,213.97,214.35,1204400,0,0
2018-07-05,215.44,216.06,213.76,214.7,2218200,0,0
2018-07-06,214.5,217.09,213.86,215.72,1846400,0,0
2018-07-09,217.25,221.95,216.9,221.75,2743900,0,0
2018-07-10,221.76,222.61,219.67,220.64,2524800,0,0
2018-07-11,219.58,221.03,219.04,219.48,2527000,0,0
2018-07-12,221.41,221.56,219.59,221.0,2223100,0,0
2018-07-13,220.43,222.36,217.8,220.21,2541500,0,0
2018-07-16,220.98,225.11,220.53,225.11,3271200,0,0
2018-07-17,225.14,226.85,220.66,224.7,9280200,0,0
2018-07-18,225.98,227.32,223.85,224.91,6149900,0,0
2018-07-19,224.78,225.64,222.71,223.34,4638500,0,0
2018-07-20,222.74,225.7,222.54,225.35,2683500,0,0
2018-07-23,225.46,228.43,225.38,227.36,2788500,0,0
2018-07-24,228.32,230.98,227.93,229.42,2887400,0,0
2018-07-25,228.58,230.37,227.55,230.21,2181500,0,0
2018-07-26,230.51,231.82,229.96,230.62,1885500,0,0
2018-07-27,231.45,232.26,229.53,231.14,1998200,0,0
2018-07-30,231.49,233.17,230.41,232.41,2454100,0,0
2018-07-31,232.94,232.94,230.08,230.93,2503700,0,0
2018-08-01,231.97,232.85,229.33,229.58,2510500,0,0
2018-08-02,227.53,228.77,226.4,227.59,2579700,0,0
2018-08-03,228.02,229.07,227.1,227.68,3053100,0,0
2018-08-06,227.73,230.49,227.62,229.47,2259600,0,0
2018-08-07,230.76,232.91,230.02,231.32,2399500,0,0
2018-08-08,231.6,232.61,229.76,229.9,2522400,0,0
2018-08-09,229.88,230.37,227.0,227.38,2951900,0,0
2018-08-10,224.65,225.12,221.87,223.33,3863400,0,0
2018-08-13,223.21,223.6,220.37,220.65,2662700,0,0
2018-08-14,221.13,224.06,221.08,223.28,2359000,0,0
2018-08-15,223.07,225.2,222.06,222.97,3218500,0,0
2018-08-16,224.36,226.9,224.14,226.62,2438300,0,0
