Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-06-18,22.31,22.67,22.24,22.58,5550200,0,0
2018-06-19,22.25,22.5,22.11,22.45,8855500,0,0
2018-06-20,22.53,22.62,22.24,22.24,6834400,0,0
2018-06-21,22.47,22.55,22.25,22.43,8911800,0,0
2018-06-22,22.58,22.82,22.52,22.72,14816900,0,0
2018-06-25,22.56,22.68,21.9,22.04,8785300,0,0
2018-06-26,22.08,22.18,21.95,22.0,6863200,0,0
2018-06-27,21.94,22.12,21.78,21.78,7520900,0,0
2018-06-28,21.79,21.81,21.34,21.64,9800800,0,0
2018-06-29,21.77,22.0,21.64,21.66,7585900,0,0
2018-07-02,21.52,21.82,21.37,21.82,5855900,0,0
2018-07-03,21.88,21.89,21.53,21.57,3619200,0,0
2018-07-05,21.79,21.95,21.43,21.72,7158600,0,0
2018-07-06,21.75,22.17,21.58,21.97,5375100,0,0
2018-07-09,22.09,22.38,21.97,22.31,7057100,0,0
2018-07-10,22.3,22.88,22.3,22.79,10481600,0,0
2018-07-11,22.58,22.63,22.0,22.01,6833500,0,0
2018-07-12,22.22,22.55,22.17,22.46,6345400,0,0
2018-07-13,22.25,22.69,22.24,22.63,5150200,0,0
2018-07-16,22.62,22.66,22.44,22.5,3791500,0,0
2018-07-17,22.32,22.64,22.32,22.52,4094700,0,0
2018-07-18,22.53,22.61,22.26,22.46,6467400,0,0
2018-07-19,22.34,22.46,22.12,22.14,6056000,0,0
2018-07-20,22.14,22.15,21.85,21.9,6919000,0,0
2018-07-23,21.83,22.1,21.63,22.0,5596300,0,0
2018-07-24,22.2,22.39,21.86,21.95,7192200,0,0
2018-07-25,21.87,22.25,21.87,22.23,5854100,0,0
2018-07-26,22.17,22.58,22.17,22.39,6452300,0,0
2018-07-27,22.39,22.48,22.06,22.18,4729700,0,0
2018-07-30,22.2,22.33,21.93,22.05,4268300,0,0
2018-07-31,22.07,22.17,22.0,22.03,6092600,0,0
2018-08-01,22.09,22.24,21.92,21.97,4344500,0,0
2018-08-02,21.85,22.21,21.85,22.16,5254300,0,0
2018-08-03,22.21,22.42,22.17,22.28,5092800,0,0
2018-08-06,22.22,22.75,22.22,22.66,5649700,0,0
2018-08-07,22.75,22.99,22.72,22.9,6311700,0,0
2018-08-08,22.89,23.15,22.84,23.05,5567800,0,0
2018-08-09,23.04,23.22,22.96,22.99,4837000,0,0
2018-08-10,22.83,23.0,22.83,22.9,5335900,0,0
2018-08-13,22.96,23.06,22.71,22.72,4631500,0,0
2018-08-14,22.84,23.15,22.84,23.05,5071400,0,0
2018-08-15,22.83,23.0,22.8,22.94,6318700,0,0
2018-08-16,23.08,23.19,22.97,23.05,6125700,0,0
