Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-06-18,52.33,52.33,50.44,51.29,40764400,0.0,0
2018-06-19,50.25,51.03,50.0,51.01,31780900,0.0,0
2018-06-20,51.26,51.8,50.78,51.52,21403000,0.0,0
2018-06-21,52.41,52.55,50.05,50.3,44435600,0.0,0
2018-06-22,50.71,51.16,50.4,50.59,34682100,0.0,0
2018-06-25,49.31,49.87,48.1,48.87,45356500,0.0,0
2018-06-26,48.14,48.58,47.57,47.87,37543000,0.0,0
2018-06-27,47.55,48.24,46.98,46.99,33338800,0.0,0
2018-06-28,46.82,47.69,46.74,47.46,29055700,0.0,0
2018-06-29,47.73,48.29,47.7,47.91,28906500,0.0,0
2018-07-02,47.26,48.45,47.06,48.38,23755500,0.0,0
2018-07-03,48.74,49.01,47.64,47.67,16327900,0.0,0
2018-07-05,48.17,49.11,47.94,48.91,26163500,0.0,0
2018-07-06,48.93,49.63,48.57,49.51,19968000,0.0,0
2018-07-09,49.77,50.01,49.15,49.98,21361600,0.0,0
2018-07-10,50.21,50.36,49.96,50.27,17362900,0.0,0
2018-07-11,49.81,49.99,49.33,49.34,18665600,0.0,0
2018-07-12,50.16,50.57,49.85,50.45,20292700,0.0,0
2018-07-13,50.5,50.52,49.88,50.32,13749300,0.0,0
2018-07-16,50.26,50.42,49.99,50.12,15951500,0.0,0
2018-07-17,49.2,50.0,49.16,49.87,15754500,0.0,0
2018-07-18,49.99,50.08,49.6,49.84,14649000,0.0,0
2018-07-19,49.73,50.12,49.2,50.09,15954600,0.0,0
2018-07-20,49.95,50.18,49.47,50.03,17380500,0.0,0
2018-07-23,49.89,50.59,49.47,50.41,15945500,0.0,0
2018-07-24,50.84,51.37,50.19,50.29,17788700,0.0,0
2018-07-25,50.31,50.55,49.24,50.53,19854800,0.0,0
2018-07-26,50.55,51.25,49.99,50.27,28282500,0.0,0
2018-07-27,46.99,47.41,45.76,45.95,67816700,0.0,0
2018-07-30,45.9,46.25,44.74,45.96,35696600,0.0,0
2018-07-31,46.49,46.91,45.96,46.35,36581200,0.0,0
2018-08-01,46.32,47.13,46.26,47.04,28060700,0.0,0
2018-08-02,46.74,47.72,46.45,47.68,26452500,0.0,0
2018-08-03,47.7,47.97,47.38,47.83,22008200,0.0,0
2018-08-06,47.29,47.81,46.85,47.8,26669000,0.3,0
2018-08-07,47.93,48.31,47.91,48.19,28322700,0.0,0
2018-08-08,48.09,48.6,47.93,48.44,21990600,0.0,0
2018-08-09,48.34,49.06,48.21,48.61,23795600,0.0,0
2018-08-10,47.03,47.67,46.83,47.36,28712400,0.0,0
2018-08-13,47.43,47.74,46.91,46.98,17070600,0.0,0
2018-08-14,47.19,47.28,46.2,46.66,23061600,0.0,0
2018-08-15,46.33,46.54,45.47,46.02,26739900,0.0,0
2018-08-16,46.3,46.49,45.62,45.73,24358000,0.0,0
