Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-06-18,45.03,45.23,43.12,43.76,45450800,0,0
2018-06-19,42.0,42.37,40.89,41.89,27377500,0,0
2018-06-20,42.66,42.72,41.36,41.68,16169900,0,0
2018-06-21,41.47,41.59,40.41,40.82,14422100,0,0
2018-06-22,41.14,41.19,40.37,40.82,9409900,0,0
2018-06-25,39.94,40.0,38.8,39.18,17566700,0,0
2018-06-26,39.56,39.76,39.05,39.47,10262200,0,0
2018-06-27,39.5,40.21,38.29,38.39,15704000,0,0
2018-06-28,38.41,38.98,37.93,38.93,9852700,0,0
2018-06-29,39.15,39.87,38.75,38.95,10243900,0,0
2018-07-02,38.01,38.8,37.87,38.79,12932300,0,0
2018-07-03,39.18,39.21,38.35,38.38,5953300,0,0
2018-07-05,38.54,38.87,37.78,38.54,9390600,0,0
2018-07-06,38.28,39.53,38.16,39.46,11616800,0,0
2018-07-09,39.99,40.04,39.29,39.4,9902600,0,0
2018-07-10,39.49,39.96,38.42,38.59,10153700,0,0
2018-07-11,37.86,38.23,37.39,37.95,10935300,0,0
2018-07-12,38.27,38.77,38.01,38.52,9926600,0,0
2018-07-13,38.53,38.77,37.96,38.27,6937000,0,0
2018-07-16,38.3,38.31,37.79,38.04,6270900,0,0
2018-07-17,37.7,38.17,37.6,37.99,8431800,0,0
2018-07-18,37.96,38.09,37.05,37.53,15027500,0,0
2018-07-19,37.19,37.24,36.78,36.88,8132900,0,0
2018-07-20,36.85,36.9,35.26,35.51,30111000,0,0
2018-07-23,35.94,36.14,35.47,35.66,9977700,0,0
2018-07-24,36.27,36.7,35.22,35.31,13768100,0,0
2018-07-25,35.58,37.11,35.38,36.92,17787700,0,0
2018-07-26,36.22,37.4,36.22,36.64,10394200,0,0
2018-07-27,37.15,37.37,35.86,36.21,10426700,0,0
2018-07-30,36.18,36.29,34.86,35.16,13689200,0,0
2018-07-31,35.19,35.89,34.9,35.86,14307800,0,0
2018-08-01,35.58,36.89,35.56,36.28,13061300,0,0
2018-08-02,35.4,36.34,35.13,36.29,12221600,0,0
2018-08-03,36.48,36.71,35.81,36.17,6754000,0,0
2018-08-06,36.06,36.11,35.53,35.9,9665800,0,0
2018-08-07,36.29,36.7,35.92,36.5,9422900,0,0
2018-08-08,36.57,36.8,35.96,36.0,8673200,0,0
2018-08-09,36.27,36.62,35.96,36.02,8158400,0,0
2018-08-10,35.62,35.9,35.47,35.79,8677600,0,0
2018-08-13,35.58,35.66,34.54,35.07,15524300,0,0
2018-08-14,34.59,34.59,33.02,33.87,33338500,0,0
2018-08-15,32.13,32.56,31.48,32.36,46803300,0,0
2018-08-16,32.0,33.2,31.18,31.97,46628200,0,0
2018-08-17,31.83,32.44,31.07,32.22,20065900,0,0
