Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-06-18,30.15,30.6,30.01,30.48,4685000,0,0
2018-06-19,30.05,30.25,29.01,29.11,17126600,0,0
2018-06-20,29.35,29.83,29.23,29.72,14759300,0,0
2018-06-21,29.76,29.78,29.33,29.5,7988800,0,0
2018-06-22,29.81,29.89,29.2,29.26,9180400,0,0
2018-06-25,29.02,29.21,28.16,28.48,9597500,0,0
2018-06-26,28.05,28.62,27.88,28.38,8641500,0,0
2018-06-27,28.38,28.49,27.6,27.61,10263000,0,0
2018-06-28,27.64,27.7,27.15,27.62,8555800,0,0
2018-06-29,27.84,28.59,27.69,28.25,12614900,0,0
2018-07-02,27.43,27.67,27.22,27.4,15410200,0,0
2018-07-03,27.47,27.85,27.14,27.23,5212200,0,0
2018-07-05,27.31,27.7,27.13,27.65,7308800,0,0
2018-07-06,27.56,28.27,27.49,28.19,5859700,0,0
2018-07-09,28.66,28.67,28.26,28.67,5561700,0,0
2018-07-10,28.72,29.27,28.56,29.13,8528400,0,0
2018-07-11,28.66,29.29,28.66,29.09,7087800,0,0
2018-07-12,29.51,29.71,29.04,29.68,8607400,0,0
2018-07-13,29.77,30.17,29.36,30.12,9606300,0,0
2018-07-16,30.17,30.36,29.93,30.28,10424700,0,0
2018-07-17,30.17,30.59,30.05,30.41,11232500,0,0
2018-07-18,30.41,30.54,30.08,30.19,8120100,0,0
2018-07-19,30.0,30.13,29.67,29.99,7096400,0,0
2018-07-20,29.88,30.46,29.72,30.36,10371800,0,0
2018-07-23,30.33,30.39,29.92,30.14,3940300,0,0
2018-07-24,30.49,30.69,29.79,29.94,7958600,0,0
2018-07-25,30.36,30.7,30.0,30.67,8191800,0,0
2018-07-26,30.09,30.57,30.01,30.38,6389500,0,0
2018-07-27,30.64,30.74,29.68,29.89,6695100,0,0
2018-07-30,29.89,30.3,29.82,29.94,6567400,0,0
2018-07-31,30.23,30.81,30.01,30.53,19673200,0,0
2018-08-01,30.42,30.54,27.47,27.74,30729600,0,0
2018-08-02,26.35,28.31,26.13,28.19,41271800,0,0
2018-08-03,28.11,28.12,27.66,27.76,15152900,0,0
2018-08-06,27.57,28.61,27.28,28.54,11043700,0,0
2018-08-07,28.61,29.28,28.51,28.83,11813200,0,0
2018-08-08,28.74,29.12,28.14,28.17,14881100,0,0
2018-08-09,28.28,28.7,28.27,28.33,6084100,0,0
2018-08-10,28.21,28.26,27.8,28.08,7741900,0,0
2018-08-13,27.98,28.48,27.94,28.25,6980500,0,0
2018-08-14,28.28,28.32,27.91,28.2,5285900,0,0
2018-08-15,27.79,27.85,27.34,27.61,8535800,0,0
2018-08-16,27.76,28.14,27.45,27.52,5462800,0,0
