Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-06-18,34.35,35.2,34.26,34.99,6367800,0,0
2018-06-19,34.59,35.16,34.53,35.12,5568900,0,0
2018-06-20,35.19,35.8,34.91,35.79,5136200,0,0
2018-06-21,35.46,35.93,35.33,35.52,4897200,0,0
2018-06-22,35.85,35.87,33.6,33.81,7737700,0,0
2018-06-25,33.88,34.04,33.16,33.4,7588900,0,0
2018-06-26,33.42,34.25,33.15,34.2,6398100,0,0
2018-06-27,34.52,35.16,34.14,34.22,6102200,0,0
2018-06-28,34.03,34.89,33.88,34.76,4930500,0,0
2018-06-29,35.12,35.19,33.79,33.81,4854400,0,0
2018-07-02,33.38,33.52,32.53,33.01,7543000,0,0
2018-07-03,33.39,33.89,33.19,33.54,2981800,0,0
2018-07-05,33.86,33.86,32.95,33.32,4213400,0,0
2018-07-06,33.15,33.75,32.86,33.32,4197500,0,0
2018-07-09,33.6,33.85,32.71,32.94,5836500,0,0
2018-07-10,32.8,33.65,32.79,33.17,6810800,0,0
2018-07-11,32.99,33.04,32.34,32.92,4536700,0,0
2018-07-12,32.87,32.93,31.9,32.63,8728100,0,0
2018-07-13,32.57,33.31,32.48,32.87,6018400,0,0
2018-07-16,33.04,33.69,32.46,33.42,7190300,0,0
2018-07-17,33.23,33.75,33.1,33.49,5874000,0,0
2018-07-18,33.58,34.07,33.29,34.06,4491600,0,0
2018-07-19,34.14,35.29,34.12,35.19,9553100,0,0
2018-07-20,34.91,35.43,34.59,34.91,9499300,0,0
2018-07-23,34.86,35.85,34.72,35.6,6883200,0,0
2018-07-24,35.65,35.68,35.15,35.56,6053100,0,0
2018-07-25,35.53,36.31,35.39,36.29,7471200,0,0
2018-07-26,36.53,36.98,35.61,35.66,4871000,0,0
2018-07-27,35.76,36.12,35.41,35.66,4616900,0,0
2018-07-30,35.67,36.41,35.65,36.38,5449700,0,0
2018-07-31,36.52,36.63,35.82,35.89,6141100,0,0
2018-08-01,35.6,35.9,34.18,34.27,7793900,0,0
2018-08-02,34.47,35.08,34.16,34.99,5895500,0,0
2018-08-03,35.08,35.64,34.91,35.19,4856100,0,0
2018-08-06,35.15,35.2,34.6,35.03,4027000,0,0
2018-08-07,35.3,35.72,35.04,35.66,5243900,0,0
2018-08-08,35.59,36.12,35.59,36.03,4365200,0,0
2018-08-09,36.14,36.85,36.13,36.64,6022900,0,0
2018-08-10,36.3,36.78,36.03,36.11,5692800,0,0
2018-08-13,36.36,36.45,35.69,36.21,5905900,0,0
2018-08-14,36.62,37.93,36.4,37.78,17124300,0,0
2018-08-15,35.16,35.5,31.73,31.75,45129200,0,0
2018-08-16,32.09,32.47,31.35,32.35,18477100,0,0
