Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-06-18,387.72,393.16,386.5,390.4,6824800,0,0
2018-06-19,389.5,405.29,388.5,404.98,16697100,0,0
2018-06-20,415.15,419.47,409.6,416.76,16494600,0,0
2018-06-21,421.38,423.21,406.37,415.44,18389900,0,0
2018-06-22,419.98,420.5,409.65,411.09,10428600,0,0
2018-06-25,404.69,405.99,378.75,384.48,22490900,0,0
2018-06-26,393.28,404.78,389.05,399.39,15191200,0,0
2018-06-27,407.56,411.59,390.0,390.39,16541400,0,0
2018-06-28,395.0,396.9,387.1,395.42,12219900,0,0
2018-06-29,399.19,401.33,390.55,391.43,9252500,0,0
2018-07-02,385.45,398.38,380.0,398.18,8142500,0,0
2018-07-03,399.49,399.98,389.5,390.52,5280300,0,0
2018-07-05,393.8,399.24,390.86,398.39,8448900,0,0
2018-07-06,397.45,408.65,395.52,408.25,8629600,0,0
2018-07-09,415.95,419.12,411.1,418.97,11127500,0,0
2018-07-10,417.24,419.44,413.08,415.63,9382900,0,0
2018-07-11,411.34,419.77,410.6,418.65,9713900,0,0
2018-07-12,415.16,416.79,407.8,413.5,12743300,0,0
2018-07-13,409.19,410.0,395.08,395.8,15719000,0,0
2018-07-16,398.98,403.36,391.75,400.48,22960000,0,0
2018-07-17,346.95,385.0,344.0,379.48,58410400,0,0
2018-07-18,381.24,383.13,372.36,375.13,21746300,0,0
2018-07-19,371.06,375.75,363.0,364.23,16878700,0,0
2018-07-20,364.92,370.5,360.14,361.05,15096700,0,0
2018-07-23,359.15,363.9,353.6,362.66,11505200,0,0
2018-07-24,366.94,367.4,354.56,357.32,12851500,0,0
2018-07-25,357.57,363.28,355.65,362.87,8467800,0,0
2018-07-26,358.19,365.54,356.63,363.09,6993700,0,0
2018-07-27,366.85,367.0,351.65,355.21,8949500,0,0
2018-07-30,351.93,352.03,334.02,334.96,18260700,0,0
2018-07-31,331.51,342.5,328.0,337.45,14085400,0,0
2018-08-01,335.87,344.41,334.02,338.38,7790500,0,0
2018-08-02,337.23,345.0,334.71,344.5,7131300,0,0
2018-08-03,347.75,347.86,338.48,343.09,8848400,0,0
2018-08-06,342.87,351.98,341.74,350.92,8198100,0,0
2018-08-07,353.23,357.31,349.01,351.83,7970900,0,0
2018-08-08,352.21,352.29,346.61,347.61,5394700,0,0
2018-08-09,347.96,352.44,345.82,349.36,4820300,0,0
2018-08-10,346.91,349.1,344.42,345.87,4328400,0,0
2018-08-13,339.89,347.19,339.07,341.31,6888900,0,0
2018-08-14,342.09,342.41,336.25,337.49,5805200,0,0
2018-08-15,334.03,335.5,321.0,326.4,11784500,0,0
2018-08-16,329.9,331.17,321.21,322.44,6689700,0,0
