Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-06-18,101.91,103.09,101.43,103.05,653200,0,0
2018-06-19,101.6,103.82,101.49,103.72,886600,0,0
2018-06-20,104.16,104.48,103.6,103.69,1269400,0,0
2018-06-21,103.28,104.06,102.41,103.65,800200,0,0
2018-06-22,104.37,104.95,103.2,103.24,2345900,0,0
2018-06-25,102.93,102.93,100.02,100.95,1135200,0,0
2018-06-26,101.25,101.3,99.9,100.67,937900,0,0
2018-06-27,100.93,101.93,99.38,99.48,1134300,0,0
2018-06-28,99.46,100.81,99.02,99.78,941700,0,0
2018-06-29,100.47,101.16,98.95,98.99,1007800,0,0
2018-07-02,97.92,100.16,97.87,100.08,704000,0,0
2018-07-03,100.25,100.64,98.58,98.72,518500,0,0
2018-07-05,99.37,99.6,98.35,98.58,754900,0,0
2018-07-06,98.5,99.57,98.07,98.79,805500,0,0
2018-07-09,99.44,101.79,99.11,101.68,833500,0,0
2018-07-10,101.73,102.18,100.31,101.03,836600,0,0
2018-07-11,100.14,101.01,99.97,100.17,575300,0,0
2018-07-12,100.63,100.63,99.54,100.19,617800,0,0
2018-07-13,100.06,100.87,99.27,100.1,762900,0,0
2018-07-16,100.66,101.79,100.03,101.47,820000,0,0
2018-07-17,101.49,102.05,100.8,101.74,1259700,0,0
2018-07-18,103.67,106.79,103.27,106.5,2302900,0,0
2018-07-19,106.49,106.5,103.58,104.33,1387800,0,0
2018-07-20,103.72,104.26,102.48,103.65,922400,0,0
2018-07-23,103.68,106.94,103.5,106.7,1295400,0,0
2018-07-24,106.79,108.43,106.46,107.4,1229100,0,0
2018-07-25,107.18,107.7,106.27,107.06,873200,0,0
2018-07-26,107.26,108.21,106.58,107.38,845700,0,0
2018-07-27,107.36,111.23,106.41,106.76,750900,0,0
2018-07-30,106.85,107.83,105.68,105.84,943200,0,0
2018-07-31,106.62,106.89,104.79,105.08,974800,0,0
2018-08-01,105.57,106.76,105.05,105.12,958500,0,0
2018-08-02,104.32,105.22,103.98,104.95,895900,0,0
2018-08-03,104.96,105.71,104.42,105.65,827500,0,0
2018-08-06,105.67,106.42,104.85,106.34,826500,0,0
2018-08-07,106.91,108.46,106.27,106.9,1002300,0,0
2018-08-08,106.57,107.56,106.57,107.25,687200,0,0
2018-08-09,107.18,107.8,106.47,106.54,1267300,0,0
2018-08-10,105.3,105.83,103.51,104.29,1376800,0,0
2018-08-13,104.53,104.85,103.1,103.23,873800,0,0
2018-08-14,103.53,104.99,103.5,104.6,937800,0,0
2018-08-15,103.75,104.59,102.9,103.01,1106300,0,0
2018-08-16,103.45,104.24,103.35,103.58,2058300,0,0
2018-08-17,103.32,104.28,103.27,103.62,1264900,0,0
