Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-06-18,44.7,45.46,44.34,45.38,21474100,0.0,0
2018-06-19,44.72,45.27,44.65,45.13,22764900,0.0,0
2018-06-20,42.44,43.69,41.53,41.77,59129000,0.0,0
2018-06-21,42.12,42.76,41.93,42.04,32635100,0.0,0
2018-06-22,42.14,43.21,42.1,43.02,29735100,0.0,0
2018-06-25,42.5,43.38,42.42,43.19,24640500,0.0,0
2018-06-26,43.37,43.75,43.28,43.32,20717500,0.0,0
2018-06-27,43.48,43.64,42.37,42.38,26360100,0.0,0
2018-06-28,42.44,42.94,42.3,42.76,20918400,0.0,0
2018-06-29,42.96,43.44,42.68,42.98,22144900,0.0,0
2018-07-02,42.88,43.87,42.7,43.85,20655500,0.0,0
2018-07-03,43.89,43.89,43.43,43.62,16783300,0.0,0
2018-07-05,44.04,44.35,43.89,44.3,21916200,0.0,0
2018-07-06,44.34,45.06,44.16,44.87,20764300,0.0,0
2018-07-09,45.0,45.64,44.93,45.58,25125700,0.0,0
2018-07-10,45.68,46.2,45.53,45.84,27422000,0.0,0
2018-07-11,45.67,46.59,45.56,46.47,22802600,0.0,0
2018-07-12,46.62,47.02,46.58,46.97,24857900,0.0,0
2018-07-13,46.79,47.61,46.66,47.44,25771400,0.0,0
2018-07-16,47.61,47.61,46.96,47.46,22949600,0.19,0
2018-07-17,47.29,47.98,47.15,47.89,18823100,0.0,0
2018-07-18,47.78,47.99,47.4,47.63,19234700,0.0,0
2018-07-19,47.4,47.71,47.21,47.44,16656500,0.0,0
2018-07-20,47.49,47.7,47.36,47.52,17232900,0.0,0
2018-07-23,47.61,47.66,47.05,47.66,17990200,0.0,0
2018-07-24,47.74,48.08,47.55,47.66,19885500,0.0,0
2018-07-25,47.52,47.96,47.5,47.94,16354900,0.0,0
2018-07-26,47.84,48.15,47.75,47.86,15229900,0.0,0
2018-07-27,47.98,48.1,47.38,47.62,14856100,0.0,0
2018-07-30,47.57,47.57,46.48,46.74,20167300,0.0,0
2018-07-31,46.91,47.08,46.41,46.69,18808100,0.0,0
2018-08-01,46.92,47.22,46.17,46.37,22933600,0.0,0
2018-08-02,46.07,47.07,45.66,46.91,14227400,0.0,0
2018-08-03,46.93,47.48,46.91,47.47,14295800,0.0,0
2018-08-06,47.29,47.75,47.22,47.66,13529300,0.0,0
2018-08-07,47.93,47.94,47.47,47.48,11608000,0.0,0
2018-08-08,47.42,47.61,47.26,47.39,10849400,0.0,0
2018-08-09,47.27,47.7,47.27,47.53,14708000,0.0,0
2018-08-10,47.37,47.71,47.23,47.32,10502200,0.0,0
2018-08-13,47.34,47.58,46.98,47.02,12152100,0.0,0
2018-08-14,47.12,47.35,46.95,47.23,11513700,0.0,0
2018-08-15,47.1,47.26,46.55,46.85,14091000,0.0,0
2018-08-16,47.14,47.45,47.05,47.1,11874300,0.0,0
