Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-06-18,45.34,46.26,44.5,46.0,26025600,0,0
2018-06-19,45.19,45.71,43.57,44.95,39252000,0,0
2018-06-20,45.56,46.92,45.44,46.13,31230200,0,0
2018-06-21,46.36,46.87,44.2,45.24,32200300,0,0
2018-06-22,45.58,46.01,44.5,45.88,28628900,0,0
2018-06-25,45.47,45.52,43.33,44.17,31379300,0,0
2018-06-26,44.36,45.32,43.51,44.84,20194100,0,0
2018-06-27,45.5,46.22,43.68,43.7,25875500,0,0
2018-06-28,43.65,44.84,42.49,44.79,18911200,0,0
2018-06-29,45.05,45.2,43.56,43.67,24392900,0,0
2018-07-02,43.06,45.0,42.75,44.98,16703600,0,0
2018-07-03,45.36,45.48,43.8,43.89,14237500,0,0
2018-07-05,44.07,45.11,43.55,45.06,16172000,0,0
2018-07-06,44.91,46.75,44.61,46.65,23740700,0,0
2018-07-09,46.74,46.9,42.08,44.14,107582400,0,0
2018-07-10,44.2,45.26,43.63,43.75,38467400,0,0
2018-07-11,42.63,44.1,42.22,43.87,35100100,0,0
2018-07-12,44.8,45.34,44.36,45.26,27078500,0,0
2018-07-13,45.28,45.32,43.93,44.49,16426700,0,0
2018-07-16,44.3,44.73,43.91,44.26,13012800,0,0
2018-07-17,43.59,45.26,43.15,44.71,20122300,0,0
2018-07-18,44.19,44.75,42.74,43.34,26536800,0,0
2018-07-19,43.27,43.87,43.11,43.44,13366800,0,0
2018-07-20,43.5,44.13,43.23,43.42,10437700,0,0
2018-07-23,43.45,43.85,42.4,43.31,15251200,0,0
2018-07-24,43.77,43.8,41.59,42.17,22433900,0,0
2018-07-25,42.35,44.39,42.35,44.22,25140700,0,0
2018-07-26,42.87,43.41,42.14,42.94,30018700,0,0
2018-07-27,37.25,37.47,33.9,34.12,122752800,0,0
2018-07-30,34.17,34.26,31.07,31.38,77852400,0,0
2018-07-31,31.95,32.48,31.07,31.87,64392200,0,0
2018-08-01,32.25,32.59,31.46,31.91,33231700,0,0
2018-08-02,31.58,32.87,31.34,32.82,27088000,0,0
2018-08-03,32.58,32.99,31.8,31.96,26317000,0,0
2018-08-06,31.82,33.04,31.45,32.98,27512400,0,0
2018-08-07,33.1,33.61,32.55,32.67,24635600,0,0
2018-08-08,32.75,32.78,31.81,31.84,22539400,0,0
2018-08-09,31.85,32.38,31.61,31.96,17662100,0,0
2018-08-10,31.65,32.25,31.47,32.01,16073900,0,0
2018-08-13,32.04,33.62,32.02,32.8,44235300,0,0
2018-08-14,33.4,33.43,32.52,33.19,26442600,0,0
2018-08-15,32.81,33.23,31.95,32.38,26433400,0,0
2018-08-16,32.7,33.15,32.42,32.83,20873200,0,0
2018-08-17,32.74,33.09,32.34,32.73,14874600,0,0
