Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-06-18,35.15,35.24,34.63,34.8,1504400,0.0,0
2018-06-19,34.81,35.1,34.66,34.73,1571600,0.0,0
2018-06-20,34.73,34.93,34.35,34.88,2491400,0.0,0
2018-06-21,34.93,35.17,34.73,35.15,1581600,0.0,0
2018-06-22,35.19,35.56,34.95,35.53,2369700,0.0,0
2018-06-25,35.64,35.86,35.44,35.72,1469200,0.0,0
2018-06-26,35.72,35.86,35.52,35.57,1911200,0.0,0
2018-06-27,35.63,35.85,35.48,35.49,1526900,0.0,0
2018-06-28,35.45,35.92,35.44,35.83,1825000,0.0,0
2018-06-29,35.69,36.08,35.45,35.82,2042500,0.0,0
2018-07-02,35.82,35.92,35.14,35.53,1278000,0.0,0
2018-07-03,35.49,36.0,35.43,35.63,958900,0.0,0
2018-07-05,35.68,35.92,35.58,35.89,1258800,0.0,0
2018-07-06,36.02,36.14,35.88,36.02,1208300,0.0,0
2018-07-09,36.02,36.04,35.6,35.79,2188400,0.3225,0
2018-07-10,35.8,36.12,35.68,36.03,1451600,0.0,0
2018-07-11,36.01,36.22,35.91,36.11,1426500,0.0,0
2018-07-12,36.26,36.33,36.02,36.21,913800,0.0,0
2018-07-13,36.23,36.38,35.94,36.0,1027100,0.0,0
2018-07-16,35.98,36.02,35.65,35.85,990400,0.0,0
2018-07-17,35.89,35.97,35.55,35.59,1396100,0.0,0
2018-07-18,35.55,35.8,35.43,35.6,1244800,0.0,0
2018-07-19,35.5,36.32,35.47,36.08,1592200,0.0,0
2018-07-20,35.99,36.03,35.51,35.68,1837700,0.0,0
2018-07-23,35.66,35.66,35.22,35.34,1190100,0.0,0
2018-07-24,35.31,35.35,35.03,35.18,1373100,0.0,0
2018-07-25,35.24,35.96,35.24,35.74,2000900,0.0,0
2018-07-26,35.94,35.96,35.62,35.8,1150100,0.0,0
2018-07-27,35.91,35.99,35.45,35.6,1128400,0.0,0
2018-07-30,35.6,35.84,35.34,35.66,1085000,0.0,0
2018-07-31,36.02,37.34,35.74,37.04,2611600,0.0,0
2018-08-01,36.74,37.16,36.5,37.12,2561000,0.0,0
2018-08-02,37.07,37.52,36.98,37.25,2550000,0.0,0
2018-08-03,37.3,37.84,37.15,37.66,1200900,0.0,0
2018-08-06,37.75,37.98,37.61,37.74,1130000,0.0,0
2018-08-07,37.75,37.75,37.42,37.68,1450600,0.0,0
2018-08-08,37.68,37.75,37.36,37.44,734800,0.0,0
2018-08-09,37.45,37.68,37.36,37.65,826500,0.0,0
2018-08-10,37.6,37.64,37.11,37.14,1421000,0.0,0
2018-08-13,37.1,37.22,37.05,37.16,1350700,0.0,0
2018-08-14,37.21,37.69,37.11,37.54,1093600,0.0,0
2018-08-15,37.5,38.05,37.4,37.97,1041400,0.0,0
2018-08-16,37.94,38.17,37.86,38.15,869300,0.0,0
