Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-06-18,48.66,49.19,48.41,49.09,7007400,0.0,0
2018-06-19,48.6,49.59,48.54,49.45,13592000,0.0,0
2018-06-20,49.81,49.85,49.06,49.09,7444900,0.0,0
2018-06-21,48.94,49.02,48.42,48.82,6484000,0.0,0
2018-06-22,49.17,49.21,48.55,48.6,7145200,0.0,0
2018-06-25,48.47,48.53,47.9,48.42,6741200,0.0,0
2018-06-26,48.38,48.5,47.77,48.06,6671600,0.0,0
2018-06-27,47.89,48.19,47.68,47.71,6961200,0.0,0
2018-06-28,47.81,48.1,47.43,47.79,5795400,0.3,0
2018-06-29,48.31,48.85,48.15,48.18,9521800,0.0,0
2018-07-02,47.79,48.58,47.76,48.55,5063800,0.0,0
2018-07-03,48.58,48.78,47.95,48.13,4506600,0.0,0
2018-07-05,48.42,48.52,47.98,48.09,5334300,0.0,0
2018-07-06,48.0,48.49,47.94,48.36,4085100,0.0,0
2018-07-09,48.53,49.74,48.45,49.48,6686500,0.0,0
2018-07-10,49.58,49.67,49.14,49.46,6618900,0.0,0
2018-07-11,49.25,49.74,48.95,49.37,6216200,0.0,0
2018-07-12,49.82,49.94,49.26,49.47,6453800,0.0,0
2018-07-13,49.17,49.41,48.75,49.04,6975600,0.0,0
2018-07-16,49.17,49.54,49.14,49.41,6932600,0.0,0
2018-07-17,49.51,49.78,49.3,49.41,9600900,0.0,0
2018-07-18,49.12,49.51,48.61,48.85,11592600,0.0,0
2018-07-19,48.79,49.72,48.79,49.47,12128400,0.0,0
2018-07-20,49.34,49.53,48.97,49.18,9167100,0.0,0
2018-07-23,49.22,49.99,49.15,49.96,7739700,0.0,0
2018-07-24,49.85,50.32,49.62,49.75,5939900,0.0,0
2018-07-25,49.64,49.84,49.46,49.72,7672600,0.0,0
2018-07-26,49.99,50.61,49.96,50.43,9397000,0.0,0
2018-07-27,50.43,50.79,50.36,50.66,7241600,0.0,0
2018-07-30,50.68,51.35,50.68,51.03,7139600,0.0,0
2018-07-31,51.08,51.39,50.94,51.06,9379300,0.0,0
2018-08-01,51.35,51.54,50.45,50.67,5685600,0.0,0
2018-08-02,50.31,50.7,50.22,50.62,4438100,0.0,0
2018-08-03,50.53,50.97,50.46,50.96,5313500,0.0,0
2018-08-06,50.88,51.23,50.86,50.98,5387700,0.0,0
2018-08-07,51.08,51.42,51.04,51.34,4620100,0.0,0
2018-08-08,51.33,51.81,51.13,51.55,4539700,0.0,0
2018-08-09,51.56,51.72,51.41,51.51,3829000,0.0,0
2018-08-10,50.98,51.36,50.81,51.15,5492000,0.0,0
2018-08-13,50.95,51.14,50.44,50.44,5338400,0.0,0
2018-08-14,50.5,51.25,50.5,51.21,4297300,0.0,0
2018-08-15,50.79,51.06,50.43,50.65,6182000,0.0,0
2018-08-16,50.87,51.41,50.86,51.2,4969900,0.0,0
