Date,ID,Tweet,User id,User name,User screen name,User location,User url,User description,place,Entities,Stock Symbol,Company,Search Keyword,User followers
2019-12-27 20:07:00,1210653325055553536,"#Google pays homage to #IqbalBano with a doodle
#ARYNews

https://t.co/Fw8ndZW05z",1430793200,ARY News,ARYNEWSOFFICIAL,"Karachi,Pakistan",https://t.co/Yi7661wvTN,ARY News is a Pakistani news channel committed to bring you up-to-the minute news & featured stories from around Pakistan & all over the world.,,"{'hashtags': [{'text': 'Google', 'indices': [0, 7]}, {'text': 'IqbalBano', 'indices': [23, 33]}, {'text': 'ARYNews', 'indices': [48, 56]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Fw8ndZW05z', 'expanded_url': 'https://arynews.tv/en/google-tribute-iqbal-bano/', 'display_url': 'arynews.tv/en/google-trib…', 'indices': [58, 81]}]}","GOOG, GOOGL",Google,Google,2256050
2019-12-22 17:29:55,1208801855184130048,"In 2000, @JLo wore a plunging, green @Versace dress to the #GRAMMYs that caused so many #Google searches that the c… https://t.co/fDEmuMYnjD",17243213,Recording Academy / GRAMMYs,RecordingAcad,Santa Monica,https://t.co/oEXNMmpAuB,"Celebrating music through the #GRAMMYs. Fostering a stronger and more inspiring world for creators through @GRAMMYAdvocacy, @MusiCares, and the @GRAMMYMuseum.",,"{'hashtags': [{'text': 'GRAMMYs', 'indices': [59, 67]}, {'text': 'Google', 'indices': [88, 95]}], 'symbols': [], 'user_mentions': [{'screen_name': 'JLo', 'name': 'Jennifer Lopez', 'id': 85603854, 'id_str': '85603854', 'indices': [9, 13]}, {'screen_name': 'Versace', 'name': 'VERSACE', 'id': 72568426, 'id_str': '72568426', 'indices': [37, 45]}], 'urls': [{'url': 'https://t.co/fDEmuMYnjD', 'expanded_url': 'https://twitter.com/i/web/status/1208801855184130048', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","GOOG, GOOGL",Google,Google,2937891
2019-12-24 00:40:00,1209272476452163584,"#China’s #Huawei to create alternative to #Google services in #India by year’s end

https://t.co/VvC5lVETks https://t.co/gR5AZjGSmd",64643056,RT,RT_com,,http://t.co/bDDyvy9DmR,"RT, the global news network, broadcasts from Moscow, London, Paris and Washington studios to over 100 countries.",,"{'hashtags': [{'text': 'China', 'indices': [0, 6]}, {'text': 'Huawei', 'indices': [9, 16]}, {'text': 'Google', 'indices': [42, 49]}, {'text': 'India', 'indices': [62, 68]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/VvC5lVETks', 'expanded_url': 'https://on.rt.com/a7st', 'display_url': 'on.rt.com/a7st', 'indices': [84, 107]}], 'media': [{'id': 1209141296050429954, 'id_str': '1209141296050429954', 'indices': [108, 131], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EMe7mjpXYAIpk3S.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EMe7mjpXYAIpk3S.jpg', 'url': 'https://t.co/gR5AZjGSmd', 'display_url': 'pic.twitter.com/gR5AZjGSmd', 'expanded_url': 'https://twitter.com/RT_com/status/1209272476452163584/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 396, 'h': 300, 'resize': 'fit'}, 'large': {'w': 396, 'h': 300, 'resize': 'fit'}, 'small': {'w': 396, 'h': 300, 'resize': 'fit'}}}]}","GOOG, GOOGL",Google,Google,3015868
2019-12-27 23:57:27,1210711320674394116,RT @Emolclause: #BREAKING:Now--AFTER ALL THIS TIME--the #FBI has reportedly LAUNCHED an investigation into #GhislaineMaxwell's ties to #Eps…,1179885334362050560,GAResister,ga_resister,,,,,"{'hashtags': [{'text': 'BREAKING', 'indices': [16, 25]}, {'text': 'FBI', 'indices': [56, 60]}, {'text': 'GhislaineMaxwell', 'indices': [107, 124]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Emolclause', 'name': 'Emoluments Clause', 'id': 802649176299466752, 'id_str': '802649176299466752', 'indices': [3, 14]}], 'urls': []}","GOOG, GOOGL",Google,Google,61
2019-12-27 23:56:29,1210711077895323648,"Google's Gene LaNois talks about simplifying your smart home, and how the @googlenest Hub Max can give you complete… https://t.co/E39sDh3sky",1016774532802043904,Residential Tech Today,ResTechToday,"Denver, CO",https://t.co/X1waYBuPoe,"Award winning publication dedicated to Integrators, Dealers & Prosumers. Intelligent home tech & innovative entertainment. #cedia #ces2019 #infocom",,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'googlenest', 'name': 'Google Nest', 'id': 168264219, 'id_str': '168264219', 'indices': [74, 85]}], 'urls': [{'url': 'https://t.co/E39sDh3sky', 'expanded_url': 'https://twitter.com/i/web/status/1210711077895323648', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","GOOG, GOOGL",Google,Google,684
2019-12-27 23:55:38,1210710862752825346,RT @Fibonacciqueen: Is GOOGL Overdone? Let’s look at some parameters. $GOOGL $SPX $ES #FibonacciQueen #Trading #StockMarketNews #StocksToTr…,1189031161798057984,Fillipino Forex Champion,Official_Forex,"Davao City, Philippines",,"Let me tell you something, there’s no nobility in poverty. I’ve been rich and I’ve been poor. And I choose being rich every f*cking time. Follow me #FilipinoFC",,"{'hashtags': [{'text': 'FibonacciQueen', 'indices': [86, 101]}, {'text': 'Trading', 'indices': [102, 110]}, {'text': 'StockMarketNews', 'indices': [111, 127]}], 'symbols': [{'text': 'GOOGL', 'indices': [70, 76]}, {'text': 'SPX', 'indices': [77, 81]}, {'text': 'ES', 'indices': [82, 85]}], 'user_mentions': [{'screen_name': 'Fibonacciqueen', 'name': 'Carolyn Boroden', 'id': 17124991, 'id_str': '17124991', 'indices': [3, 18]}], 'urls': []}","GOOG, GOOGL",Google,Google,197
2019-12-27 23:55:20,1210710786621857792,"RT @Emolclause: #BREAKING:#GOPHypocrisy on steroids--After RAILING AGAINST eminent domain under #Obama, #Republicans are now SILENT as #Tru…",304643285,sonny foreman,capitalistone,san diego,,,,"{'hashtags': [{'text': 'BREAKING', 'indices': [16, 25]}, {'text': 'GOPHypocrisy', 'indices': [26, 39]}, {'text': 'Obama', 'indices': [96, 102]}, {'text': 'Republicans', 'indices': [104, 116]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Emolclause', 'name': 'Emoluments Clause', 'id': 802649176299466752, 'id_str': '802649176299466752', 'indices': [3, 14]}], 'urls': []}","GOOG, GOOGL",Google,Google,296
2019-12-27 23:54:10,1210710493897404417,Fight4justice/Advocacy on #Google https://t.co/pQoPfvC4H4,2306587148,Mervelee Myers,rattynem,"London, England",https://t.co/vJaCfw9KBz,Not afraid to speak my mind about any subject of interests. However I am careful not to knowingly offend anyone in the process.  Mindful of the power of words.,,"{'hashtags': [{'text': 'Google', 'indices': [26, 33]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/pQoPfvC4H4', 'expanded_url': 'https://local.google.com/place?id=15799686407929885860&use=posts&lpsid=7951579677929643114', 'display_url': 'local.google.com/place?id=15799…', 'indices': [34, 57]}]}","GOOG, GOOGL",Google,Google,177
2019-12-27 23:53:46,1210710395507412993,Google is the internet !! #google #googl #goog #stock #market #tech #technology #epic #internet #monster https://t.co/jhGQFiwqui,893305069059403776,Leo Ventures,leoventuresllc,"Chicago, IL",https://t.co/CHpmdSvMgh,Full Time Futures Trading,,"{'hashtags': [{'text': 'google', 'indices': [26, 33]}, {'text': 'googl', 'indices': [34, 40]}, {'text': 'goog', 'indices': [41, 46]}, {'text': 'stock', 'indices': [47, 53]}, {'text': 'market', 'indices': [54, 61]}, {'text': 'tech', 'indices': [62, 67]}, {'text': 'technology', 'indices': [68, 79]}, {'text': 'epic', 'indices': [80, 85]}, {'text': 'internet', 'indices': [86, 95]}, {'text': 'monster', 'indices': [96, 104]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/jhGQFiwqui', 'expanded_url': 'https://investorplace.com/2019/12/stock-market-today-tesla-preps-for-model-3-deliveries-in-china/', 'display_url': 'investorplace.com/2019/12/stock-…', 'indices': [105, 128]}]}","GOOG, GOOGL",Google,Google,216
2019-12-27 23:52:44,1210710134189518848,RT @1americanguy: @MilitaryTimes Really? Just #Google a Name and It’s obvious by street address or PO Box if they’re Military or #MilitaryC…,3885721520,PirateMike,1americanguy,WestColoradoFarmBoyMoreCowbell,https://t.co/TIsVCgstIx,FormerGunPilot AH64-AH1-CFII-Ski Instructor-John316 UndocumentedComedian-ShiftlessRogue-#Trump2020-#Keto-GymRat-NoPC!-FollowedBy WinstonChurchill & JimiHendrix,,"{'hashtags': [{'text': 'Google', 'indices': [46, 53]}], 'symbols': [], 'user_mentions': [{'screen_name': '1americanguy', 'name': 'PirateMike', 'id': 3885721520, 'id_str': '3885721520', 'indices': [3, 16]}, {'screen_name': 'MilitaryTimes', 'name': 'Military Times', 'id': 27027979, 'id_str': '27027979', 'indices': [18, 32]}], 'urls': []}","GOOG, GOOGL",Google,Google,2600
